,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,0.6693049493711261, 0.0, 0.6693049493711261, 233.20083628000066, 21.75935545522858, 60.0, 23.418659726716655, 1596.4504875649982, 0.7573152955040469, 0.0, 0.7573152955040469, 202.093252106999, 13.834982364359718, 6.0, 14.065168665456252, 907.784126298, 
456,0.6693049493711261, 0.0, 0.6693049493711261, 232.74571030900188, 21.743263206318613, 64.0, 23.51318776257256, 1655.7298036020002, 0.7573152955040469, 0.0, 0.7573152955040469, 197.62904039500063, 13.834982364359718, 6.0, 14.065168665456252, 927.3410085860014, 
789,0.6693049493711261, 0.0, 0.6693049493711261, 227.76544361299966, 19.62565797179661, 114.0, 22.778336087623956, 1589.7783599780014, 0.7573152955040469, 0.0, 0.7573152955040469, 203.10243801199977, 13.834982364359718, 6.0, 14.065168665456252, 920.395292336998, 
101112,0.6693049493711261, 0.0, 0.6693049493711261, 226.85777448099907, 19.59533995070254, 111.0, 22.665052852955483, 1580.9116603019975, 0.7573152955040469, 0.0, 0.7573152955040469, 207.3135242649987, 13.834982364359718, 6.0, 14.065168665456252, 918.2410000089985, 
131415,0.6693049493711261, 0.0, 0.6693049493711261, 227.69239054100035, 
