,iris  Restr: 10%,,,,ecoli  Restr: 10%,,,,rand  Restr: 10%,,,,newthyroid  Restr: 10%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,1.90,466.00,5.07,58.90,45.74,1782.00,95.02,75.23,2.74,458.00,6.28,47.54,13.06,1136.00,56.64,90.05, 
456,1.93,478.00,5.18,56.99,45.67,1771.00,94.65,74.57,2.74,479.00,6.44,48.60,13.06,1151.00,57.21,90.24, 
789,1.86,443.00,4.87,57.43,45.92,1791.00,95.45,75.51,2.77,478.00,6.47,47.73,13.04,1137.00,56.66,90.24, 
101112,1.86,468.00,5.04,58.80,45.19,1824.00,95.63,76.18,2.76,470.00,6.39,46.15,13.13,1136.00,56.71,89.94, 
131415,1.94,475.00,5.17,58.31,45.85,1775.00,94.93,74.44,2.73,485.00,6.48,46.57,13.00,1136.00,56.58,89.42, 
,1.90,466.00,5.07,58.09,45.67,1788.60,95.14,75.18,2.75,474.00,6.41,47.32,13.06,1139.20,56.76,89.98,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,iris  Restr: 20%,,,,ecoli  Restr: 20%,,,,rand  Restr: 20%,,,,newthyroid  Restr: 20%,,,,
Seed,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,Tasa_C,Tasa_inf,Agr.,T,
123,1.90,946.00,5.01,58.60,45.83,3605.00,94.92,76.94,2.73,949.00,6.27,48.82,12.70,2309.00,55.93,89.11, 
456,1.94,953.00,5.06,61.28,45.48,3651.00,95.20,76.77,2.79,956.00,6.35,47.92,13.05,2311.00,56.31,92.11, 
789,1.94,970.00,5.12,59.86,45.48,3568.00,94.07,78.32,2.71,929.00,6.17,47.72,13.11,2298.00,56.13,91.53, 
101112,1.89,955.00,5.02,59.22,45.45,3595.00,94.41,76.30,2.64,935.00,6.13,48.15,13.14,2264.00,55.52,91.34, 
131415,1.91,952.00,5.03,59.32,45.44,3582.00,94.22,77.36,2.79,951.00,6.33,48.19,12.98,2292.00,55.89,90.93, 
,1.92,955.20,5.05,59.66,45.54,3600.20,94.56,77.14,2.73,944.00,6.25,48.16,13.00,2294.80,55.96,91.00,
