Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
50,56.29600585330142,13.06819613832679,-5.577847417792053e+293,5.8139379188691e-310,58.16015794779706
86,55.66578318608878,13.08630842260864,-5.741013762789559e+281,57.74984153336695,57.74984153336695
122,55.66578318608878,13.098184428658248,-5.741013762789559e+281,57.17799632769037,57.17799632769037
158,55.140388649502356,13.098134221147454,-5.741013762789559e+281,56.878471355699666,56.878471355699666
194,55.140388649502356,13.096543853111937,-5.741013762789559e+281,56.53183753268327,56.53183753268327
230,54.573524564427935,13.138997103580271,-5.741013762789559e+281,56.1755542983263,56.1755542983263
266,54.35004724329852,13.109120427113778,-5.741013762789559e+281,55.63127452254678,55.63127452254678
302,53.85399193378255,13.117487988750572,-5.741013762789559e+281,55.354905976937445,55.354905976937445
338,53.85399193378255,13.110488744418438,-5.741013762789559e+281,54.84195800782453,54.84195800782453
374,53.84607949418655,13.144784011644527,-5.741013762789559e+281,54.73444032668297,54.73444032668297
410,53.462427851740046,13.130546067167613,-5.741013762789559e+281,54.316904143891406,54.316904143891406
446,53.31813469927066,13.13052437316759,-5.741013762789559e+281,53.94368876975058,53.94368876975058
482,53.08877505864382,13.12635407306585,-5.741013762789559e+281,53.746859227194946,53.746859227194946
518,52.9398121992278,13.134586956964904,-5.741013762789559e+281,53.59127811230149,53.59127811230149
554,52.908099571477074,13.13877639085919,-5.741013762789559e+281,53.42722106499187,53.42722106499187
590,52.86487226914579,13.146654121352626,-5.741013762789559e+281,53.28488100859649,53.28488100859649
626,52.208327572745794,13.148258434427413,-5.741013762789559e+281,53.12223143045608,53.12223143045608
662,52.208327572745794,13.162400922104721,-5.741013762789559e+281,52.930614523195636,52.930614523195636
698,51.85880533795819,13.167745235721174,-5.741013762789559e+281,52.69362760827889,52.69362760827889
734,51.66859306426788,13.171077738829911,-5.741013762789559e+281,52.510446159264276,52.510446159264276
770,51.66859306426788,13.178518956786409,-5.741013762789559e+281,52.304360442547015,52.304360442547015
806,50.956928998342576,13.18414899573467,-5.741013762789559e+281,52.10184703223062,52.10184703223062
842,50.956928998342576,13.18596047692852,-5.741013762789559e+281,51.90254107566134,51.90254107566134
878,50.886573702219366,13.18522628814659,-5.741013762789559e+281,51.68254025391414,51.68254025391414
914,50.71896327730316,13.20271899842033,-5.741013762789559e+281,51.30717193955347,51.30717193955347
950,50.564983752961005,13.21843823617496,-5.741013762789559e+281,51.1420753092061,51.1420753092061
986,50.564983752961005,13.233735610712367,-5.741013762789559e+281,50.933374135596665,50.933374135596665
1022,50.375286516361584,13.243466457581139,-5.741013762789559e+281,50.885369539430236,50.885369539430236
1058,50.34052007882069,13.266180535244741,-5.741013762789559e+281,50.71976328433789,50.71976328433789
