Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
50,95.18646185573354,45.81010795184726,2e-323,0.5,96.61026132487855
52,95.18646185573354,45.81045045866408,1799.5,95.44769877422725,96.50218890134471
54,95.18646185573354,45.81740341856793,1792.5,95.4279372734833,96.40575254157568
56,95.06564408017375,45.805299705074646,1798.5,95.29127486329992,96.31612258055293
58,95.06564408017375,45.81516032125851,1839.5,96.67164818674668,96.27524654940802
60,95.06564408017375,45.81458854080122,1804.5,95.68942618361288,96.21200832402936
62,95.06564408017375,45.80847040331806,1803.0,95.49499013974699,96.14869904180554
64,94.83173925075769,45.81188844103603,1795.0,95.3592005131645,96.08090917541054
66,94.83173925075769,45.806100496129375,1799.5,95.33894971085965,96.01586738360065
68,94.83173925075769,45.80777625622561,1843.5,96.59766684569006,96.00428535585732
70,94.83173925075769,45.811764315858994,1791.5,95.25930463456834,95.94087800224226
72,94.83173925075769,45.81708861648222,1820.0,96.18058167910594,95.92102753020878
74,94.83173925075769,45.81734334736341,1830.0,96.46350066305024,95.91174582072776
76,94.83173925075769,45.80258646028671,1812.5,95.61061474028209,95.87056060651751
78,94.83173925075769,45.811555651663056,1840.0,96.59535898245613,95.86912234519258
80,94.83173925075769,45.807720321410095,1815.5,95.82192648194106,95.83775656073225
82,94.83173925075769,45.816921440847516,1825.0,96.31467764419575,95.82731609644593
84,94.64015509225239,45.807609392246015,1788.5,95.07246633066939,95.76831503429283
86,94.64015509225239,45.802124130661326,1802.0,95.30867825213691,95.71958669828335
88,94.64015509225239,45.815700213003126,1771.5,94.80460063934228,95.6530225030297
90,94.64015509225239,45.822839324994,1823.5,96.4211421410705,95.6480086401204
92,94.64015509225239,45.81120789449963,1803.0,95.5634274192862,95.61684377819716
94,94.64015509225239,45.80019077472159,1806.0,95.37096463840979,95.57832050071491
96,94.64015509225239,45.81781627566965,1797.5,95.57653405698352,95.54787418450063
98,94.64015509225239,45.80920279143538,1802.0,95.48564477148845,95.51749645811685
100,94.64015509225239,45.81369350749625,1805.0,95.68087788658444,95.49826635083615
102,94.64015509225239,45.808334659192234,1789.0,95.10442553992053,95.45763133578755
104,94.64015509225239,45.80839932676421,1779.0,94.82949151730551,95.40632248587893
106,94.49758302945682,45.80375614339862,1774.5,94.58896411280419,95.3487170082313
108,94.49758302945682,45.81118734906305,1788.0,95.14808771549949,95.31422721417161
110,94.49758302945682,45.79899854798391,1800.0,95.17522854281873,95.28433422939179
