Evaluations,BestObjetivo,MediaDesviacionHijos,MediaInfeasibilityHijos,MediaObjetivoHijos,MediaObjetivo
10,95.25594065314513,45.64904566443721,1.73e-322,-1.590331695808667e+197,96.40992883637662
18,95.25594065314513,45.69879597402121,1821.5,95.90186922150748,95.90186922150748
26,95.24295919649103,45.69632784599374,1812.7,95.74688333982297,95.74688333982297
34,94.74917975262755,45.67008922398801,1807.9,95.52520582469798,95.52520582469798
42,94.74917975262755,45.58825442228348,1801.0,95.28340435632515,95.28340435632515
50,94.36997741889041,45.576185215490554,1793.2,95.08703489027161,95.08703489027161
58,94.36997741889041,45.49714172861165,1786.2,94.66936666618776,94.66936666618776
66,94.32558016249808,45.45491201908784,1778.1,94.43930458664911,94.43930458664911
74,94.31061794560819,45.43877840954523,1770.6,94.34968404530707,94.34968404530707
82,94.31061794560819,45.45732847470707,1769.8,94.33759396711265,94.33759396711265
90,94.20329841771215,45.44425695323821,1768.8,94.30817875132763,94.30817875132763
97,94.03884785133434,45.44425695323821,1768.8,94.30817875132763,94.29173369468984
104,93.96814101835851,45.44425695323821,1768.8,94.30817875132763,94.28466301139227
111,93.96814101835851,45.44425695323821,1768.8,94.30817875132763,94.28466301139227
118,93.94288361093471,45.44425695323821,1768.8,94.30817875132763,94.28213727064988
125,93.85397058096464,45.44425695323821,1768.8,94.30817875132763,94.27324596765287
132,93.79228625118634,45.44425695323821,1768.8,94.30817875132763,94.26707753467505
139,93.75476708254314,45.44425695323821,1768.8,94.30817875132763,94.26332561781072
146,93.58903067343556,45.44425695323821,1768.8,94.30817875132763,94.24675197689996
153,93.49772705554827,45.44425695323821,1768.8,94.30817875132763,94.23762161511124
160,93.44623394542509,45.44425695323821,1768.8,94.30817875132763,94.23247230409892
167,93.4019991826409,45.44425695323821,1768.8,94.30817875132763,94.2280488278205
174,93.20727047713157,45.44425695323821,1768.8,94.30817875132763,94.20857595726957
181,93.1049511203654,45.44425695323821,1768.8,94.30817875132763,94.19834402159294
188,93.06165633596343,45.44425695323821,1768.8,94.30817875132763,94.19401454315275
195,93.06165633596343,45.44425695323821,1768.8,94.30817875132763,94.19401454315275
202,93.04977141553209,45.44425695323821,1768.8,94.30817875132763,94.19282605110962
209,93.04977141553209,45.44425695323821,1768.8,94.30817875132763,94.19282605110962
216,93.02434450915669,45.44425695323821,1768.8,94.30817875132763,94.19028336047208
223,93.02434450915669,45.44425695323821,1768.8,94.30817875132763,94.19028336047208
230,92.84416576870697,45.44425695323821,1768.8,94.30817875132763,94.17226548642711
237,92.84416576870697,45.44425695323821,1768.8,94.30817875132763,94.17226548642711
244,92.78693740188604,45.44425695323821,1768.8,94.30817875132763,94.16654264974501
251,92.74443844170364,45.44425695323821,1768.8,94.30817875132763,94.16229275372677
258,92.74104897335879,45.44425695323821,1768.8,94.30817875132763,94.16195380689229
265,92.63950438537093,45.44425695323821,1768.8,94.30817875132763,94.1517993480935
272,92.51205570627451,45.44425695323821,1768.8,94.30817875132763,94.13905448018386
279,92.47114808976325,45.44425695323821,1768.8,94.30817875132763,94.13496371853275
286,92.44489070043024,45.44425695323821,1768.8,94.30817875132763,94.13233797959944
293,92.34665865107303,45.44425695323821,1768.8,94.30817875132763,94.12251477466371
300,92.2505901433546,45.44425695323821,1768.8,94.30817875132763,94.11290792389187
307,92.2505901433546,45.44425695323821,1768.8,94.30817875132763,94.11290792389187
314,92.2505901433546,45.44425695323821,1768.8,94.30817875132763,94.11290792389187
321,92.22992565902693,45.44425695323821,1768.8,94.30817875132763,94.11084147545911
328,92.20468268314399,45.44425695323821,1768.8,94.30817875132763,94.10831717787082
335,92.18158319433886,45.44425695323821,1768.8,94.30817875132763,94.1060072289903
342,92.18158319433886,45.44425695323821,1768.8,94.30817875132763,94.1060072289903
349,92.12021939409442,45.44425695323821,1768.8,94.30817875132763,94.09987084896585
356,92.06924888524239,45.44425695323821,1768.8,94.30817875132763,94.09477379808064
363,92.00538252651455,45.44425695323821,1768.8,94.30817875132763,94.08838716220787
370,92.00538252651455,45.44425695323821,1768.8,94.30817875132763,94.08838716220787
377,91.93488281741944,45.44425695323821,1768.8,94.30817875132763,94.08133719129836
384,91.93488281741944,45.44425695323821,1768.8,94.30817875132763,94.08133719129836
